aishe_code,name,state,type,nirf_2026,is_qhei,pmvl_category,total_course_fee,avg_placement_lpa,roi_index
U-1001,National Management Institute 1,West Bengal,State,1,True,AAA,2366071,20.24,4.3
U-1002,National Institute of Technology 2,Punjab,Deemed,2,True,AAA,1220565,24.64,9.9
U-1003,Indian Institute of Technology 3,Maharashtra,Central,3,True,AAA,1237841,28.03,9.9
U-1004,Jawaharlal University 4,Uttar Pradesh,State,4,True,AAA,1695394,18.52,5.5
U-1005,National Management Institute 5,Telangana,State,5,True,AAA,2394362,20.77,4.3
U-1006,Imperial College of Engineering 6,Punjab,Private,6,True,AAA,1329724,25.64,9.6
U-1007,Savitribai College of Engineering 7,Punjab,Private,7,True,AAA,2144542,23.35,5.4
U-1008,Savitribai Management Institute 8,Gujarat,Deemed,8,True,AAA,1052529,17.56,8.3
U-1009,Savitribai University 9,Rajasthan,Private,9,True,AAA,1721334,21.16,6.1
U-1010,Global Medical College 10,Maharashtra,Deemed,10,True,AAA,1252760,29.7,9.9
U-1011,Savitribai Medical College 11,West Bengal,State,11,True,AAA,1897045,27.8,7.3
U-1012,Global University 12,Tamil Nadu,Central,12,True,AAA,1409773,15.13,5.4
U-1013,National Management Institute 13,West Bengal,Central,13,True,AAA,1826449,24.58,6.7
U-1014,Jawaharlal Management Institute 14,Karnataka,Deemed,14,True,AAA,1743590,17.07,4.9
U-1015,National Medical College 15,Maharashtra,Private,15,True,AAA,1224864,20.69,8.4
U-1016,Global Medical College 16,Rajasthan,Central,16,True,AAA,1202901,19.93,8.3
U-1017,Global Management Institute 17,Karnataka,Private,17,True,AAA,2491417,25.66,5.1
U-1018,Imperial College of Engineering 18,Gujarat,Private,18,True,AAA,1162792,15.36,6.6
U-1019,Jawaharlal Management Institute 19,Gujarat,State,19,True,AAA,2265205,22.63,5.0
U-1020,Ambedkar Institute of Technology 20,Punjab,Private,20,True,AAA,2316040,24.0,5.2
U-1021,Imperial College of Engineering 21,West Bengal,State,21,True,AAA,1617416,17.39,5.4
U-1022,National Medical College 22,West Bengal,Deemed,22,True,AAA,1074308,19.34,9.0
U-1023,National College of Engineering 23,Delhi,Central,23,True,AAA,2300466,20.84,4.5
U-1024,Imperial University 24,Karnataka,State,24,True,AAA,2317789,19.67,4.2
U-1025,Savitribai College of Engineering 25,Maharashtra,Private,25,True,AAA,1633157,21.22,6.5
U-1026,Imperial Management Institute 26,Punjab,Private,26,True,AAA,1433830,15.18,5.3
U-1027,Ambedkar College of Engineering 27,Rajasthan,State,27,True,AAA,1084313,19.81,9.1
U-1028,Savitribai Institute of Technology 28,Delhi,Private,28,True,AAA,2455949,28.51,5.8
U-1029,Jawaharlal University 29,Karnataka,Private,29,True,AAA,1343030,21.87,8.1
U-1030,Imperial University 30,Tamil Nadu,Private,30,True,AAA,2441902,22.49,4.6
U-1031,Imperial College of Engineering 31,West Bengal,Deemed,31,True,AAA,1320061,16.41,6.2
U-1032,National Institute of Technology 32,Telangana,State,32,True,AAA,1032089,21.43,9.9
U-1033,Global Medical College 33,Maharashtra,Central,33,True,AAA,1822353,21.28,5.8
U-1034,Indian University 34,Gujarat,Deemed,34,True,AAA,1460329,26.49,9.1
U-1035,Imperial College of Engineering 35,Punjab,Deemed,35,True,AAA,1940746,24.07,6.2
U-1036,Global Medical College 36,Delhi,Deemed,36,True,AAA,2187515,27.48,6.3
U-1037,Ambedkar College of Engineering 37,Delhi,Deemed,37,True,AAA,1946643,28.66,7.4
U-1038,Indian Management Institute 38,Telangana,Private,38,True,AAA,2048020,26.26,6.4
U-1039,Imperial Management Institute 39,Delhi,Deemed,39,True,AAA,1971740,17.04,4.3
U-1040,Indian Institute of Technology 40,Karnataka,Private,40,True,AAA,1789983,24.99,7.0
U-1041,Jawaharlal College of Engineering 41,Uttar Pradesh,State,41,True,AAA,1590305,24.74,7.8
U-1042,Jawaharlal Institute of Technology 42,Karnataka,State,42,True,AAA,2066586,18.64,4.5
U-1043,National Medical College 43,Tamil Nadu,Deemed,43,True,AAA,2215218,23.31,5.3
U-1044,Indian University 44,Rajasthan,Deemed,44,True,AAA,1609820,25.63,8.0
U-1045,Indian College of Engineering 45,Gujarat,Central,45,True,AAA,2308882,17.73,3.8
U-1046,Imperial University 46,Rajasthan,Private,46,True,AAA,1253022,29.06,9.9
U-1047,Savitribai Medical College 47,Karnataka,Deemed,47,True,AAA,1398922,20.0,7.1
U-1048,Jawaharlal University 48,Telangana,Private,48,True,AAA,1323756,25.38,9.6
U-1049,Global Management Institute 49,Uttar Pradesh,Private,49,True,AAA,1667398,21.55,6.5
U-1050,National Medical College 50,Uttar Pradesh,State,50,True,AAA,2020853,28.35,7.0
U-1051,Indian Medical College 51,Maharashtra,Central,51,True,AA,935637,8.67,4.6
U-1052,Indian Institute of Technology 52,Maharashtra,State,52,True,AA,647275,14.8,9.9
U-1053,Savitribai University 53,West Bengal,Deemed,53,True,AA,855142,9.71,5.7
U-1054,National University 54,Telangana,State,54,True,AA,847934,14.1,8.3
U-1055,Ambedkar Institute of Technology 55,Telangana,Central,55,True,AA,630957,14.76,9.9
U-1056,Savitribai Institute of Technology 56,Karnataka,Private,56,True,AA,1327514,11.77,4.4
U-1057,Ambedkar Institute of Technology 57,Karnataka,Private,57,True,AA,635131,11.84,9.3
U-1058,Savitribai University 58,Karnataka,Private,58,True,AA,757755,13.0,8.6
U-1059,Ambedkar Medical College 59,Karnataka,Private,59,True,AA,1299415,9.24,3.6
U-1060,National Medical College 60,Rajasthan,Deemed,60,True,AA,814096,13.43,8.2
